,Country,Number of cases,Deaths,Continent
181,Central African Republic,14649,113,Africa
182,Grenada,14064,219,North America
183,Bermuda,12711,129,North America
184,Solomon Islands,12005,137,Australia/Oceania
185,Gambia,11990,365,Africa
186,Greenland,11971,21,North America
187,Dominica,11953,63,North America
188,Yemen,11814,2147,Asia
189,Monaco,11194,54,Europe
190,Saint Martin,10176,63,North America
191,Sint Maarten,9873,86,North America
192,Eritrea,9732,103,Africa
193,Caribbean Netherlands,9000,33,North America
194,Niger,8846,308,Africa
195,Tonga,8559,11,Australia/Oceania
196,Guinea-Bissau,8173,170,Africa
197,Comoros,8100,160,Africa
198,Sierra Leone,7677,125,Africa
199,Antigua and Barbuda,7511,135,North America
200,Liberia,7402,294,Africa
201,Chad,7378,192,Africa
202,St. Vincent & Grenadines,6748,106,North America
203,British Virgin Islands,6162,62,North America
204,Sao Tome & Principe,5948,73,Africa
205,Turks and Caicos,5923,36,North America
206,Saint Kitts & Nevis,5554,43,North America
207,Vanuatu,5536,6,Australia/Oceania
208,Saint Barthelemy,4313,6,North America
209,Palau,4122,6,Australia/Oceania
210,Samoa,4092,9,Australia/Oceania
211,Cook Islands,3449,0,Australia/Oceania
212,Kiribati,3069,13,Australia/Oceania
213,Anguilla,2731,9,North America
214,Saint Pierre & Miquelon,2509,1,North America
215,Wallis & Futuna,454,7,Australia/Oceania
216,Montserrat,176,2,North America
217,Falkland Islands,128,0,South America
218,Macao,82,0,Asia
219,Holy See,29,0,Europe
220,Western Sahara,10,1,Africa
221,MS Zaandam,9,2,
222,Marshall Islands,7,0,Australia/Oceania
223,Niue,7,0,Australia/Oceania
224,Nauru,3,0,Australia/Oceania
225,Saint Helena,2,0,Africa
226,Micronesia,1,0,Australia/Oceania
